spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
low,11,0.1099999999999967,eig2,2,Ob2.txt
high,27,0.2699999999999919,eig2,2,Ob2.txt
low,14,0.1399999999999958,eig2,2,Ob2.txt
high,55,0.5499999999999835,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,22,0.2199999999999934,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,21,0.2099999999999937,eig2,2,Ob2.txt
high,134,1.33999999999996,eig2,2,Ob2.txt
low,15,0.1499999999999955,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,9,0.0899999999999973,eig2,2,Ob2.txt
high,229,2.289999999999931,eig2,2,Ob2.txt
low,53,0.5299999999999842,eig2,2,Ob2.txt
high,4,0.0399999999999988,eig2,2,Ob2.txt
low,4,0.0399999999999988,eig2,2,Ob2.txt
high,7,0.0699999999999979,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,17,0.1699999999999949,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,8,0.0799999999999976,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,234,2.3399999999999297,eig2,2,Ob2.txt
low,82,0.8199999999999754,eig2,2,Ob2.txt
high,107,1.0699999999999679,eig2,2,Ob2.txt
low,16,0.1599999999999952,eig2,2,Ob2.txt
high,23,0.2299999999999931,eig2,2,Ob2.txt
low,7,0.0699999999999979,eig2,2,Ob2.txt
high,7,0.0699999999999979,eig2,2,Ob2.txt
low,16,0.1599999999999952,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,16,0.1599999999999952,eig2,2,Ob2.txt
high,16,0.1599999999999952,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,14,0.1399999999999958,eig2,2,Ob2.txt
high,23,0.2299999999999931,eig2,2,Ob2.txt
low,5,0.049999999999998504,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,9,0.0899999999999973,eig2,2,Ob2.txt
high,4,0.0399999999999988,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
