ob,dataset,history_window_sec,history_feature,current_state,spearman_corr,pearson_corr,n
5,Ob5.txt,0.75,turning_proxy,R,-0.018187204997491192,-0.01373694650286567,1413
6,Ob6.txt,0.25,dC_h,C,0.13933313971892036,0.14476961653210857,1996
6,Ob6.txt,0.25,dC_h,dCdt,0.8763578399075099,0.8827911637398393,1996
6,Ob6.txt,0.25,dC_h,R,-0.1353966474898057,-0.11979432962751038,1996
6,Ob6.txt,0.25,dR_h,C,-0.1572653177183166,-0.14126683720713434,1996
6,Ob6.txt,0.25,dR_h,dCdt,-0.8225298922965188,-0.7866676254222493,1996
6,Ob6.txt,0.25,dR_h,R,0.15689307613989278,0.14464658834292834,1996
6,Ob6.txt,0.25,path_length,C,0.011614927174766247,0.013818681992798546,1996
6,Ob6.txt,0.25,path_length,dCdt,0.013630882232761954,0.07010376868482494,1996
6,Ob6.txt,0.25,path_length,R,-0.01227263167869468,0.01873091946351921,1996
6,Ob6.txt,0.25,cos_theta_h,C,0.10724277993091667,0.13575040538220057,1852
6,Ob6.txt,0.25,cos_theta_h,dCdt,0.7442944279021034,0.7452471392762365,1852
6,Ob6.txt,0.25,cos_theta_h,R,-0.10211563835515251,-0.11578204374097173,1852
6,Ob6.txt,0.25,sin_theta_h,C,-0.14064379188417364,-0.13013538867301047,1852
6,Ob6.txt,0.25,sin_theta_h,dCdt,-0.580424447255729,-0.6440301964974054,1852
6,Ob6.txt,0.25,sin_theta_h,R,0.14493991927202765,0.1410718432970405,1852
6,Ob6.txt,0.25,turning_proxy,C,0.051604991673229114,0.028543374102215514,1692
6,Ob6.txt,0.25,turning_proxy,dCdt,0.0617821792008968,0.007358631750453802,1692
6,Ob6.txt,0.25,turning_proxy,R,-0.047644796423264066,-0.037441259580648194,1692
6,Ob6.txt,0.5,dC_h,C,0.2940427869062294,0.3165732223619556,1994
6,Ob6.txt,0.5,dC_h,dCdt,0.7191126885593229,0.728955238011688,1994
6,Ob6.txt,0.5,dC_h,R,-0.2873797879761766,-0.2697693049084786,1994
6,Ob6.txt,0.5,dR_h,C,-0.30383546279218077,-0.2914757507885971,1994
6,Ob6.txt,0.5,dR_h,dCdt,-0.6738413180454861,-0.650908724148019,1994
6,Ob6.txt,0.5,dR_h,R,0.30830094378673406,0.3116754604289193,1994
6,Ob6.txt,0.5,path_length,C,0.032944476639800595,0.04922855136557799,1994
6,Ob6.txt,0.5,path_length,dCdt,0.024607377546512904,0.0807351923217352,1994
6,Ob6.txt,0.5,path_length,R,-0.03465819480632345,0.0025601996584818753,1994
6,Ob6.txt,0.5,cos_theta_h,C,0.21721410790833892,0.2648969976741418,1935
6,Ob6.txt,0.5,cos_theta_h,dCdt,0.6047421647667937,0.6187130129988759,1935
6,Ob6.txt,0.5,cos_theta_h,R,-0.19773237081224124,-0.2106339655374416,1935
6,Ob6.txt,0.5,sin_theta_h,C,-0.23600922173675026,-0.23964495312606118,1935
6,Ob6.txt,0.5,sin_theta_h,dCdt,-0.45764918291842743,-0.5203839089002652,1935
6,Ob6.txt,0.5,sin_theta_h,R,0.25242591495387245,0.25871221861754584,1935
6,Ob6.txt,0.5,turning_proxy,C,0.07999255383691715,0.07778794124161006,1855
6,Ob6.txt,0.5,turning_proxy,dCdt,0.06418341978161732,0.0026932970308323977,1855
